name|weight|mass|A|d|b|t|y|yp|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|ro|H
 |lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in|
2L5X5X3/4X3/4|47.2|47.2|14.0|5.00|5.00|0.750|1.52|0.698|31.4|16.3|9.04|1.50|81.3|26.5|15.1|2.41|3.06|0.861
2L5X5X5/8|40.0|40.0|11.8|5.00|5.00|0.625|1.47|0.590|27.2|13.9|7.70|1.52|52.5|17.3|10.5|2.11|2.85|0.835
2L5X5X5/8X3/8|40.0|40.0|11.8|5.00|5.00|0.625|1.47|0.590|27.2|13.9|7.70|1.52|59.7|19.6|11.5|2.25|2.95|0.846
2L5X5X5/8X3/4|40.0|40.0|11.8|5.00|5.00|0.625|1.47|0.590|27.2|13.9|7.70|1.52|67.4|21.8|12.5|2.39|3.06|0.857
2L5X5X1/2|32.4|32.4|9.58|5.00|5.00|0.500|1.42|0.479|22.6|11.3|6.30|1.53|41.8|13.6|8.36|2.09|2.85|0.830
2L5X5X1/2X3/8|32.4|32.4|9.58|5.00|5.00|0.500|1.42|0.479|22.6|11.3|6.30|1.53|47.2|15.4|9.10|2.22|2.94|0.842
2L5X5X1/2X3/4|32.4|32.4|9.58|5.00|5.00|0.500|1.42|0.479|22.6|11.3|6.30|1.53|53.4|17.2|9.93|2.36|3.05|0.852
2L5X5X7/16|28.6|28.6|8.44|5.00|5.00|0.438|1.40|0.422|20.0|10.0|5.56|1.54|36.5|11.8|7.30|2.08|2.85|0.828
2L5X5X7/16X3/8|28.6|28.6|8.44|5.00|5.00|0.438|1.40|0.422|20.0|10.0|5.56|1.54|41.2|13.4|7.94|2.21|2.94|0.839
2L5X5X7/16X3/4|28.6|28.6|8.44|5.00|5.00|0.438|1.40|0.422|20.0|10.0|5.56|1.54|46.6|15.0|8.67|2.35|3.05|0.850
2L5X5X3/8|24.6|24.6|7.30|5.00|5.00|0.375|1.37|0.365|17.5|8.66|4.82|1.55|31.3|10.0|6.26|2.07|2.84|0.826
2L5X5X3/8X3/8|24.6|24.6|7.30|5.00|5.00|0.375|1.37|0.365|17.5|8.66|4.82|1.55|35.3|11.4|6.80|2.20|2.94|0.838
2L5X5X3/8X3/4|24.6|24.6|7.30|5.00|5.00|0.375|1.37|0.365|17.5|8.66|4.82|1.55|40.0|12.7|7.44|2.34|3.04|0.848
2L5X5X5/16|20.6|20.6|6.14|5.00|5.00|0.313|1.35|0.307|14.9|7.30|4.08|1.56|26.1|8.29|5.22|2.06|2.84|0.825
2L5X5X5/16X3/8|20.6|20.6|6.14|5.00|5.00|0.313|1.35|0.307|14.9|7.30|4.08|1.56|29.4|9.44|5.67|2.19|2.94|0.836
2L5X5X5/16X3/4|20.6|20.6|6.14|5.00|5.00|0.313|1.35|0.307|14.9|7.30|4.08|1.56|33.0|10.6|6.14|2.32|3.04|0.847
2L4X4X3/4|37.0|37.0|10.9|4.00|4.00|0.750|1.27|0.680|15.2|10.0|5.58|1.18|32.6|13.8|8.15|1.73|2.28|0.847
2L4X4X3/4X3/8|37.0|37.0|10.9|4.00|4.00|0.750|1.27|0.680|15.2|10.0|5.58|1.18|38.5|15.9|9.19|1.88|2.39|0.861
