name|weight|mass|A|OD|tnom|tdes|I|Z|S|r|J
  |lbf/ft|lbm/ft|in²|in|in|in|in⁴|in³|in³|in|in⁴
HSS3.5X.250|8.69|8.69|2.39|3.5|0.25|0.233|3.21|2.49|1.83|1.16|6.41
HSS3.5X.216|7.58|7.58|2.08|3.5|0.216|0.201|2.84|2.19|1.63|1.17|5.69
HSS3.5X.203|7.15|7.15|1.97|3.5|0.203|0.189|2.7|2.07|1.54|1.17|5.41
HSS3.5X.188|6.66|6.66|1.82|3.5|0.188|0.174|2.52|1.93|1.44|1.18|5.04
HSS3.5X.125|4.51|4.51|1.23|3.5|0.125|0.116|1.77|1.33|1.01|1.2|3.53
HSS3X.250|7.35|7.35|2.03|3|0.25|0.233|1.95|1.79|1.3|0.982|3.9
HSS3X.216|6.43|6.43|1.77|3|0.216|0.201|1.74|1.58|1.16|0.992|3.48
HSS3X.203|6.07|6.07|1.67|3|0.203|0.189|1.66|1.5|1.1|0.996|3.31
HSS3X.188|5.65|5.65|1.54|3|0.188|0.174|1.55|1.39|1.03|1|3.1
HSS3X.152|4.63|4.63|1.27|3|0.152|0.141|1.3|1.15|0.865|1.01|2.59
HSS3X.134|4.11|4.11|1.12|3|0.134|0.124|1.16|1.03|0.774|1.02|2.32
HSS3X.125|3.84|3.84|1.05|3|0.125|0.116|1.09|0.965|0.73|1.02|2.19
HSS2.875X.250|7.02|7.02|1.93|2.88|0.25|0.233|1.7|1.63|1.18|0.938|3.4
HSS2.875X.203|5.8|5.8|1.59|2.88|0.203|0.189|1.45|1.37|1.01|0.952|2.89
HSS2.875X.188|5.4|5.4|1.48|2.88|0.188|0.174|1.35|1.27|0.941|0.957|2.7
HSS2.875X.125|3.67|3.67|1.01|2.88|0.125|0.116|0.958|0.884|0.667|0.976|1.92
HSS2.5X.250|6.01|6.01|1.66|2.5|0.25|0.233|1.08|1.2|0.862|0.806|2.15
HSS2.5X.188|4.65|4.65|1.27|2.5|0.188|0.174|0.865|0.943|0.692|0.825|1.73
HSS2.5X.125|3.17|3.17|0.869|2.5|0.125|0.116|0.619|0.66|0.495|0.844|1.24
HSS2.375X.250|5.68|5.68|1.57|2.38|0.25|0.233|0.91|1.07|0.766|0.762|1.82
HSS2.375X.218|5.03|5.03|1.39|2.38|0.218|0.203|0.824|0.96|0.694|0.771|1.65
HSS2.375X.188|4.4|4.4|1.2|2.38|0.188|0.174|0.733|0.845|0.617|0.781|1.47
HSS2.375X.154|3.66|3.66|1|2.38|0.154|0.143|0.627|0.713|0.528|0.791|1.25
HSS2.375X.125|3.01|3.01|0.823|2.38|0.125|0.116|0.527|0.592|0.443|0.8|1.05
HSS1.9X.188|3.44|3.44|0.943|1.9|0.188|0.174|0.355|0.52|0.374|0.613|0.71
HSS1.9X.145|2.72|2.72|0.749|1.9|0.145|0.135|0.293|0.421|0.309|0.626|0.586
HSS1.9X.120|2.28|2.28|0.624|1.9|0.12|0.111|0.251|0.356|0.264|0.634|0.501
HSS1.66X.140|2.27|2.27|0.625|1.66|0.14|0.13|0.184|0.305|0.222|0.543|0.368
Pipe26STD|103|103|28.2|26|0.375|0.349|2320|230|178|9.07|4640
Pipe24STD|94.7|94.7|26|24|0.375|0.349|1820|196|152|8.36|3640
Pipe20STD|78.7|78.7|21.6|20|0.375|0.349|1040|135|104|6.95|2090
Pipe18STD|70.7|70.7|19.4|18|0.375|0.349|756|109|84|6.24|1510
Pipe16STD|62.6|62.6|17.2|16|0.375|0.349|527|85.7|65.9|5.53|1050
Pipe14STD|54.6|54.6|15|14|0.375|0.349|350|65.2|50|4.83|700
Pipe12STD|49.6|49.6|13.7|12.75|0.375|0.349|262|53.7|41|4.39|523
Pipe10STD|40.5|40.5|11.5|10.75|0.365|0.34|151|36.9|28.1|3.68|302
Pipe8STD|28.6|28.6|7.85|8.625|0.322|0.3|68.1|20.8|15.8|2.95|136
Pipe6STD|19|19|5.2|6.625|0.28|0.261|26.5|10.6|7.99|2.25|52.9
Pipe5STD|14.6|14.6|4.01|5.563|0.258|0.241|14.3|6.83|5.14|1.88|28.6
Pipe4STD|10.8|10.8|2.96|4.5|0.237|0.221|6.82|4.05|3.03|1.51|13.6
