name|weight|mass|A|d|bf|tw|tf|kdes|y|yp|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|J|Cw|ro|H|WGi
  |lbf/ft|lbm/ft|in²|in|in|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in⁴|in⁶|in||in
WT10.5X46.5|46.5|46.5|13.7|10.8|8.42|0.58|0.93|1.43|2.74|0.812|144|31.8|17.9|3.25|46.4|17.3|11|1.84|3.01|9.33|4.37|0.73|5.5
WT10.5X41.5|41.5|41.5|12.2|10.7|8.36|0.515|0.835|1.34|2.66|0.728|127|28|15.7|3.22|40.7|15.2|9.74|1.83|2.16|6.5|4.33|0.732|5.5
WT10.5X36.5|36.5|36.5|10.7|10.6|8.3|0.455|0.74|1.24|2.6|0.647|110|24.4|13.8|3.21|35.3|13.3|8.51|1.81|1.51|4.42|4.3|0.732|5.5
WT10.5X34|34|34|10|10.6|8.27|0.43|0.685|1.19|2.59|0.606|103|22.9|12.9|3.2|32.4|12.2|7.83|1.8|1.22|3.62|4.3|0.728|5.5
WT10.5X31|31|31|9.13|10.5|8.24|0.4|0.615|1.12|2.58|0.554|93.8|21.1|11.9|3.21|28.7|10.9|6.97|1.77|0.913|2.78|4.31|0.721|5.5
WT10.5X27.5|27.5|27.5|8.1|10.4|8.22|0.375|0.522|1.02|2.64|0.493|84.4|19.4|10.9|3.23|24.2|9.18|5.89|1.73|0.617|2.08|4.37|0.703|5.5
WT10.5X24|24|24|7.07|10.3|8.14|0.35|0.43|0.93|2.74|0.459|74.9|17.8|9.9|3.26|19.4|7.44|4.76|1.66|0.4|1.52|4.44|0.676|5.5
WT10.5X28.5|28.5|28.5|8.37|10.5|6.56|0.405|0.65|1.15|2.85|0.638|90.4|21.2|11.8|3.29|15.3|7.4|4.67|1.35|0.884|2.5|4.36|0.665|3.5
WT10.5X25|25|25|7.36|10.4|6.53|0.38|0.535|1.04|2.93|0.771|80.3|19.4|10.7|3.3|12.5|6.08|3.82|1.3|0.57|1.89|4.44|0.64|3.5
WT10.5X22|22|22|6.49|10.3|6.5|0.35|0.45|0.95|2.98|1.06|71.1|17.6|9.68|3.31|10.3|5.07|3.18|1.26|0.383|1.4|4.49|0.623|3.5
WT9X155.5|155.5|155.5|45.8|11.2|12|1.52|2.74|3.24|2.93|1.91|383|90.6|46.6|2.89|398|104|66.2|2.95|87.2|339|4.41|0.875|5.5
WT9X141.5|141.5|141.5|41.7|10.9|11.9|1.4|2.5|3|2.8|1.75|337|80.2|41.5|2.85|352|92.5|59.2|2.91|66.5|251|4.36|0.873|5.5
WT9X129|129|129|38|10.7|11.8|1.28|2.3|2.7|2.68|1.61|298|71|37|2.8|314|83.1|53.4|2.88|51.1|189|4.3|0.874|5.5
WT9X117|117|117|34.3|10.5|11.7|1.16|2.11|2.51|2.55|1.48|261|62.4|32.7|2.75|279|74.4|47.9|2.85|39.1|140|4.23|0.875|5.5
