name|weight|mass|A|d|bf|tw|tf|kdes|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|x|eo|J|Cw|rts|WGi|metricName
unit|lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in|in|in⁴|in⁶|in|in|
MC9X25.4|25.4|25.4|7.47|9|3.5|0.45|0.55|1.25|87.9|23.5|19.5|3.43|7.57|5.7|2.99|1.01|0.97|0.986|0.691|104|1.20|2|MC230X37.8
MC9X23.9|23.9|23.9|7.02|9|3.45|0.4|0.55|1.25|84.9|22.5|18.9|3.48|7.14|5.51|2.89|1.01|0.981|1.04|0.599|98|1.18|2|MC230X35.6
MC8X22.8|22.8|22.8|6.7|8|3.5|0.427|0.525|1.19|63.8|19.1|15.9|3.09|7.01|5.37|2.81|1.02|1.01|1.04|0.572|75.2|1.20|2|MC200X33.9
MC8X21.4|21.4|21.4|6.28|8|3.45|0.375|0.525|1.19|61.5|18.2|15.4|3.13|6.58|5.18|2.71|1.02|1.02|1.09|0.495|70.8|1.18|2|MC200X31.8
MC8X20|20|20|5.87|8|3.03|0.4|0.5|1.13|54.4|16.4|13.6|3.04|4.42|3.86|2.02|0.867|0.84|0.843|0.441|47.8|1.03|2|MC200X29.8
MC8X18.7|18.7|18.7|5.5|8|2.98|0.353|0.5|1.13|52.4|15.6|13.1|3.09|4.15|3.72|1.95|0.868|0.849|0.889|0.38|45|1.02|2|MC200X27.8
MC8X8.5|8.5|8.5|2.5|8|1.87|0.179|0.311|0.813|23.3|6.95|5.82|3.05|0.624|0.875|0.431|0.5|0.428|0.542|0.0587|8.21|0.624|1.125|MC200X12.6
MC7X22.7|22.7|22.7|6.67|7|3.6|0.503|0.5|1.13|47.4|16.4|13.5|2.67|7.24|5.38|2.83|1.04|1.04|1.01|0.625|58.3|1.23|2|MC180X33.8
MC7X19.1|19.1|19.1|5.61|7|3.45|0.352|0.5|1.13|43.1|14.5|12.3|2.77|6.06|4.85|2.55|1.04|1.08|1.15|0.407|49.3|1.19|2|MC180X28.4
MC6X18|18|18|5.29|6|3.5|0.379|0.475|1.06|29.7|11.7|9.89|2.37|5.88|4.68|2.47|1.05|1.12|1.17|0.379|34.6|1.20|2|MC150X26.8
MC6X15.3|15.3|15.3|4.49|6|3.5|0.34|0.385|0.875|25.3|9.91|8.44|2.38|4.91|3.85|2.01|1.05|1.05|1.16|0.223|30|1.20|2|MC150X22.8
MC6X16.3|16.3|16.3|4.79|6|3|0.375|0.475|1.06|26|10.4|8.66|2.33|3.77|3.47|1.82|0.887|0.927|0.93|0.336|22.1|1.03|1.75|MC150X24.3
MC6X15.1|15.1|15.1|4.44|6|2.94|0.316|0.475|1.06|24.9|9.83|8.3|2.37|3.46|3.3|1.73|0.883|0.94|0.982|0.285|20.5|1.01|1.75|MC150X22.5
MC6X12|12|12|3.53|6|2.5|0.31|0.375|0.875|18.7|7.47|6.24|2.3|1.85|1.97|1.03|0.724|0.704|0.725|0.155|11.3|0.856|1.5|MC150X17.9
MC6X7|7|7|2.09|6|1.88|0.179|0.291|0.750|11.4|4.5|3.81|2.34|0.603|0.865|0.439|0.537|0.501|0.583|0.0464|4|0.638||MC150X10.4
MC6X6.5|6.5|6.5|1.95|6|1.85|0.155|0.291|0.750|11|4.28|3.66|2.38|0.565|0.836|0.422|0.539|0.513|0.612|0.0412|3.75|0.631||MC150X9.7
MC4X13.8|13.8|13.8|4.03|4|2.5|0.5|0.5|1.00|8.85|5.53|4.43|1.48|2.13|2.4|1.29|0.727|0.849|0.643|0.373|4.84|0.851||MC100X20.5
MC3X7.1|7.1|7.1|2.11|3|1.94|0.312|0.351|0.813|2.72|2.24|1.81|1.14|0.666|0.998|0.518|0.562|0.653|0.574|0.0928|0.915|0.657||MC75X10.6
